,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q3_total,Q8_total,numerical_total
4,3.0,3.0,2.0,4.0,3.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,6.0,3.0,2.5,3.0
5,4.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,1.0,2.0,1.0,3.0,4.0,8.0,4.285714285714286,2.3333333333333335,3.7333333333333334
6,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,5.0,2.4285714285714284,2.0,2.4
7,4.0,4.0,4.0,5.0,2.0,2.0,5.0,3.0,4.0,0.0,2.0,2.0,4.0,3.0,6.0,3.5714285714285716,2.5,3.3333333333333335
8,4.0,4.0,3.0,4.0,2.0,1.0,4.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,8.0,2.7142857142857144,4.666666666666667,3.933333333333333
9,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,7.0,4.714285714285714,1.8333333333333333,3.7333333333333334
10,3.0,1.0,3.0,3.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0,,2.0,2.0,7.0,2.7142857142857144,1.8,2.7142857142857144
11,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,9.0,4.714285714285714,4.5,4.933333333333334
12,1.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0,5.0,3.0,5.0,5.0,5.0,5.0,8.0,1.5714285714285714,4.666666666666667,3.2
13,5.0,4.0,5.0,5.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,3.7142857142857144,0.5,2.933333333333333
14,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,9.0,4.428571428571429,4.333333333333333,4.733333333333333
15,5.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,8.0,3.5714285714285716,3.6666666666666665,4.0
16,4.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,2.0,5.0,4.0,2.3333333333333335,3.4
17,5.0,5.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,5.0,5.0,9.0,4.0,3.0,4.0
18,4.0,4.0,5.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,3.0,2.0,5.0,4.0,5.0,3.0,3.0,3.2
19,5.0,5.0,4.0,5.0,1.0,2.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,10.0,3.4285714285714284,4.666666666666667,4.466666666666667
20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.333333333333333
21,3.0,2.0,3.0,5.0,3.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,7.0,3.142857142857143,1.8333333333333333,2.8666666666666667
22,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,7.0,3.2857142857142856,2.3333333333333335,3.2
23,4.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,3.857142857142857,3.0,3.6
24,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,8.0,3.857142857142857,2.1666666666666665,3.466666666666667
25,4.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,7.0,4.142857142857143,1.6666666666666667,3.3333333333333335
26,3.0,3.0,4.0,5.0,3.0,3.0,4.0,,3.0,4.0,3.0,3.0,3.0,3.0,7.0,3.6666666666666665,3.1666666666666665,3.642857142857143
